laufkont,laufzeit,moral,verw,hoehe,sparkont,beszeit,rate,famges,buerge,wohnzeit,verm,alter,weitkred,wohn,bishkred,beruf,pers,telef,gastarb,target_bad
4.0,-0.04012041338888526,2.0,3.0,-0.03865987503426046,1.0,3.0,2.0,3.0,1.0,4.0,3.0,0.03503350320453326,3.0,2.0,1.0,3.0,2.0,2.0,2.0,0
4.0,-0.03364602180085828,2.0,3.0,-0.066662584378075,1.0,4.0,4.0,241.0,1.0,2.0,3.0,-0.11103210803976413,3.0,2.0,1.0,3.0,2.0,2.0,2.0,0
2.0,-0.04012041338888526,2.0,3.0,-0.09198155360823267,1.0,3.0,1.0,2.0,1.0,1.0,3.0,-0.14754851085083848,3.0,2.0,1.0,3.0,2.0,2.0,2.0,0
4.0,-0.03364602180085828,3.0,3.0,-0.07556130159704255,1.0,5.0,4.0,3.0,1.0,4.0,4.0,0.08372204028596572,3.0,3.0,2.0,3.0,2.0,2.0,2.0,0
2.0,-0.03526461969786503,4.0,2.0,-0.050383581846551034,4.0,4.0,3.0,3.0,1.0,2.0,3.0,-0.08668783949904789,3.0,2.0,2.0,3.0,2.0,2.0,2.0,0
4.0,-0.030408826006844795,2.0,3.0,-0.0813878426332713,5.0,5.0,4.0,3.0,1.0,4.0,3.0,0.07154990601560761,3.0,2.0,1.0,3.0,2.0,2.0,2.0,0
4.0,-0.02717163021283131,2.0,3.0,-0.06613289882932694,3.0,5.0,4.0,3.0,1.0,4.0,3.0,-0.04408536955279449,3.0,2.0,1.0,3.0,2.0,1.0,2.0,0
4.0,-0.03364602180085828,172.0,2.0,-0.11451084561498384,5.0,4.0,4.0,3.0,1.0,2.0,3.0,-0.09277390663422695,2.0,2.0,1.0,3.0,2.0,2.0,2.0,0
3.0,-0.04012041338888526,2.0,3.0,-0.02728929192113526,5.0,5.0,2.0,3.0,1.0,3.0,3.0,-0.0562575038231526,3.0,2.0,1.0,4.0,2.0,1.0,2.0,0
2.0,-0.041739011285892,2.0,2.0,-0.07563192633687563,5.0,4.0,2.0,3.0,1.0,1.0,3.0,-0.13537637658048035,3.0,2.0,1.0,3.0,2.0,2.0,2.0,0
4.0,-0.03526461969786503,4.0,1.0,-0.03166802579078595,1.0,5.0,1.0,3.0,1.0,4.0,3.0,-0.06234357095833166,3.0,2.0,1.0,4.0,2.0,2.0,2.0,0
4.0,-0.03364602180085828,4.0,0.0,-0.07881003962936403,4.0,5.0,4.0,3.0,1.0,4.0,1.0,0.08372204028596572,3.0,2.0,1.0,3.0,2.0,2.0,2.0,0
1.0,-0.03526461969786503,4.0,0.0,-0.09074562066115384,1.0,5.0,4.0,4.0,1.0,3.0,3.0,-0.098859973769406,3.0,2.0,2.0,3.0,2.0,2.0,2.0,0
4.0,-0.03850181549187851,2.0,3.0,-0.07743285720261905,5.0,5.0,4.0,3.0,1.0,2.0,3.0,-0.06842963809351071,3.0,2.0,1.0,3.0,2.0,1.0,2.0,0
4.0,-0.03688321759487177,4.0,0.0,-0.07591442529620793,1.0,3.0,4.0,2.0,1.0,4.0,3.0,-0.0562575038231526,3.0,2.0,1.0,3.0,2.0,2.0,2.0,0
4.0,-0.02717163021283131,4.0,3.0,-0.029302097006377918,5.0,5.0,4.0,3.0,1.0,2.0,3.0,0.028947436069354203,3.0,2.0,1.0,3.0,2.0,2.0,2.0,0
2.0,-0.03688321759487177,2.0,0.0,0.05982632466296371,2.0,3.0,2.0,3.0,1.0,2.0,3.0,-0.098859973769406,3.0,2.0,2.0,3.0,2.0,2.0,2.0,0
3.0,-0.03850181549187851,4.0,1.0,-0.06397884426441812,3.0,3.0,2.0,3.0,1.0,2.0,3.0,-0.06234357095833166,3.0,2.0,1.0,3.0,2.0,2.0,2.0,0
4.0,-0.03850181549187851,4.0,2.0,-0.09364123499430994,5.0,5.0,4.0,3.0,1.0,4.0,2.0,0.1019802416915029,3.0,2.0,1.0,3.0,2.0,1.0,2.0,0
1.0,-0.04012041338888526,2.0,0.0,-0.01839057470216771,4.0,3.0,1.0,3.0,1.0,3.0,2.0,-0.09277390663422695,3.0,2.0,1.0,3.0,1.0,1.0,2.0,0
4.0,-0.03364602180085828,2.0,1.0,-0.06447321744324966,1.0,4.0,4.0,3.0,1.0,3.0,3.0,-0.06842963809351071,3.0,516.0,2.0,3.0,2.0,2.0,2.0,0
4.0,-0.02717163021283131,3.0,3.0,0.009965258340812213,1.0,3.0,4.0,2.0,1.0,4.0,1.0,-0.07451570522868978,3.0,2.0,2.0,3.0,2.0,1.0,2.0,0
1.0,-0.04335760918289874,4.0,0.0,-0.12379799890303331,4.0,4.0,3.0,2.0,1.0,4.0,1.0,-0.04408536955279449,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0
4.0,-0.03364602180085828,3.0,0.0,-0.0779272303814506,5.0,3.0,4.0,2.0,1.0,4.0,3.0,-0.025827168147257315,3.0,1.0,2.0,3.0,2.0,2.0,2.0,0
2.0,-0.04012041338888526,4.0,0.0,-0.07686785928395445,2.0,2.0,4.0,3.0,1.0,1.0,3.0,-0.11711817517494318,3.0,2.0,1.0,3.0,2.0,1.0,2.0,0
2.0,-0.030408826006844795,2.0,3.0,-0.041696738847082714,5.0,5.0,2.0,2.0,1.0,4.0,3.0,-0.1292903094453013,3.0,2.0,1.0,3.0,2.0,1.0,2.0,0
1.0,-0.041739011285892,2.0,3.0,-0.09914996470128985,1.0,4.0,3.0,3.0,1.0,4.0,1.0,0.07763597315078667,3.0,2.0,1.0,3.0,2.0,1.0,2.0,0
2.0,-0.03688321759487177,4.0,2.0,0.07730594777164997,1.0,5.0,2.0,3.0,1.0,1.0,4.0,-0.03191323528243637,3.0,2.0,1.0,3.0,2.0,2.0,2.0,0
4.0,-0.03202742390385154,4.0,2.0,0.01250774897480294,4.0,2.0,4.0,3.0,10.0,2.0,1.0,-0.08668783949904789,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0
2.0,-0.04012041338888526,4.0,3.0,-0.0023940711299760475,1.0,3.0,1.0,2.0,1.0,1.0,1.0,-0.14146244371565941,3.0,2.0,1.0,2.0,2.0,1.0,2.0,0
2.0,-0.02717163021283131,3.0,9.0,0.01000057071072875,1.0,3.0,2.0,1.0,1.0,2.0,1.0,-0.098859973769406,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1
1.0,-0.041739011285892,2.0,2.0,-0.07188881512572261,1.0,3.0,3.0,3.0,1.0,2.0,1.0,-0.1292903094453013,3.0,2.0,1.0,3.0,2.0,1.0,2.0,0
2.0,-0.02393443441881782,4.0,9.0,0.06293381321561904,1.0,4.0,4.0,2.0,1.0,1.0,1.0,-0.03191323528243637,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0
4.0,-0.03364602180085828,4.0,2.0,-0.013941216092683936,4.0,3.0,4.0,3.0,1.0,4.0,1.0,-0.03799930241761543,3.0,2.0,1.0,3.0,2.0,2.0,2.0,0
1.0,-0.03850181549187851,2.0,9.0,-0.118854267114718,1.0,179.0,4.0,2.0,1.0,4.0,2.0,-0.14754851085083848,3.0,2.0,1.0,2.0,2.0,1.0,2.0,0
2.0,-0.03364602180085828,3.0,9.0,0.019075849779278987,5.0,3.0,4.0,3.0,1.0,2.0,2.0,-0.07451570522868978,1.0,2.0,2.0,4.0,2.0,2.0,2.0,0
2.0,-0.02717163021283131,3.0,0.0,0.11512549595226204,1.0,3.0,2.0,2.0,1.0,2.0,2.0,0.04720563747489138,3.0,1.0,1.0,3.0,762.0,1.0,2.0,0
4.0,-0.03364602180085828,4.0,3.0,-0.08195284055193591,1.0,4.0,4.0,4.0,3.0,2.0,3.0,-0.08060177236386884,3.0,2.0,2.0,3.0,2.0,2.0,2.0,0
4.0,-0.03364602180085828,2.0,0.0,-0.09812590597371026,1.0,3.0,2.0,3.0,3.0,2.0,1.0,-0.09277390663422695,3.0,2.0,1.0,3.0,2.0,2.0,2.0,0
4.0,-0.04012041338888526,4.0,9.0,-0.09745497094529604,1.0,3.0,4.0,2.0,3.0,2.0,1.0,-0.10494604090458506,3.0,2.0,2.0,4.0,2.0,2.0,2.0,0
4.0,-0.03688321759487177,2.0,3.0,-0.09530091638038724,1.0,2.0,3.0,4.0,1.0,4.0,1.0,-0.04408536955279449,847.0,2.0,1.0,3.0,2.0,2.0,2.0,0
4.0,-0.04012041338888526,4.0,6.0,-0.0762675489953733,5.0,4.0,4.0,2.0,1.0,2.0,3.0,0.08980810742114478,3.0,2.0,1.0,3.0,2.0,1.0,2.0,0
1.0,-0.03850181549187851,2.0,0.0,-0.007514364767874041,1.0,3.0,3.0,2.0,1.0,2.0,2.0,-0.10494604090458506,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1
1.0,-0.04335760918289874,2.0,2.0,-0.13220234294316932,1.0,5.0,2.0,2.0,1.0,1.0,2.0,0.016775301798996087,1.0,2.0,1.0,3.0,2.0,2.0,731.0,0
2.0,-0.04012041338888526,2.0,0.0,-0.0637669700449189,3.0,4.0,3.0,1.0,1.0,3.0,3.0,-0.06234357095833166,3.0,2.0,1.0,4.0,2.0,2.0,2.0,0
4.0,-0.04012041338888526,2.0,2.0,-0.12037269902112913,1.0,3.0,4.0,2.0,1.0,1.0,1.0,-0.12320424231012224,3.0,2.0,1.0,3.0,2.0,2.0,2.0,0
2.0,-0.03526461969786503,2.0,2.0,-0.006914054479292897,5.0,4.0,2.0,3.0,1.0,3.0,3.0,-0.06842963809351071,3.0,2.0,1.0,3.0,2.0,2.0,2.0,0
2.0,-0.03688321759487177,2.0,0.0,0.07373939841007963,1.0,4.0,3.0,3.0,1.0,4.0,1.0,-0.11103210803976413,3.0,1.0,1.0,2.0,2.0,1.0,2.0,0
2.0,-0.041739011285892,4.0,2.0,-0.07955159939761133,1.0,4.0,4.0,3.0,1.0,3.0,3.0,-0.06842963809351071,3.0,1.0,1.0,3.0,2.0,2.0,575.0,0
4.0,-0.03364602180085828,2.0,263.0,-0.05539793837469942,4.0,3.0,2.0,2.0,1.0,4.0,3.0,-0.11103210803976413,3.0,1.0,1.0,3.0,2.0,2.0,2.0,0
4.0,-0.041739011285892,4.0,6.0,-0.11426365902556808,3.0,5.0,4.0,3.0,1.0,2.0,3.0,0.03503350320453326,3.0,2.0,2.0,3.0,2.0,2.0,2.0,0
4.0,-0.03364602180085828,2.0,2.0,-0.03918956058300853,3.0,5.0,4.0,3.0,1.0,3.0,4.0,-0.08668783949904789,3.0,1.0,1.0,3.0,2.0,2.0,2.0,0
2.0,-0.02717163021283131,2.0,3.0,-0.06556790091066232,1.0,2.0,4.0,2.0,1.0,1.0,4.0,-0.098859973769406,3.0,2.0,1.0,4.0,2.0,2.0,2.0,0
4.0,-0.02717163021283131,4.0,1.0,0.0589788277849668,1.0,5.0,2.0,3.0,1.0,2.0,2.0,-0.06842963809351071,3.0,630.0,2.0,3.0,1.0,2.0,2.0,0
2.0,-0.04335760918289874,2.0,3.0,-0.07446661812962987,1.0,2.0,4.0,4.0,1.0,3.0,3.0,-0.098859973769406,3.0,1.0,1.0,4.0,2.0,2.0,2.0,0
4.0,-0.03850181549187851,4.0,3.0,-0.09579528955921876,1.0,3.0,4.0,2.0,1.0,2.0,3.0,-0.019741101012078256,3.0,2.0,1.0,3.0,2.0,1.0,2.0,0
4.0,-0.03850181549187851,2.0,3.0,-0.10448213255868707,3.0,5.0,4.0,3.0,1.0,3.0,2.0,0.004603167528637974,2.0,2.0,1.0,3.0,2.0,2.0,2.0,0
4.0,-0.03364602180085828,4.0,3.0,0.032882986416645305,1.0,2.0,3.0,4.0,1.0,3.0,4.0,0.004603167528637974,3.0,3.0,3.0,3.0,2.0,2.0,2.0,0
4.0,-0.03850181549187851,2.0,4.0,-0.11645302596039342,5.0,2.0,4.0,2.0,1.0,1.0,1.0,-0.13537637658048035,3.0,2.0,1.0,3.0,2.0,1.0,2.0,0
4.0,-0.04335760918289874,2.0,2.0,-0.04215579965599771,3.0,3.0,1.0,3.0,1.0,2.0,3.0,-0.08668783949904789,3.0,2.0,1.0,3.0,2.0,2.0,2.0,0
4.0,-0.03688321759487177,2.0,0.0,-0.08304752401934858,1.0,3.0,4.0,4.0,1.0,2.0,2.0,-0.098859973769406,3.0,2.0,1.0,4.0,2.0,2.0,2.0,0
4.0,-0.03364602180085828,4.0,3.0,-0.04589891086715073,2.0,5.0,3.0,3.0,1.0,4.0,1.0,-0.06234357095833166,3.0,2.0,1.0,3.0,1.0,2.0,2.0,0
3.0,-0.03364602180085828,2.0,2.0,-0.07933972517811211,1.0,3.0,2.0,3.0,1.0,2.0,1.0,-0.12320424231012224,3.0,2.0,1.0,3.0,2.0,1.0,2.0,0
4.0,-0.03688321759487177,2.0,2.0,-0.05850542692735475,1.0,3.0,3.0,3.0,1.0,4.0,1.0,-0.019741101012078256,3.0,2.0,1.0,3.0,2.0,2.0,2.0,0
3.0,-0.04335760918289874,2.0,2.0,-0.07259506252405337,1.0,3.0,2.0,3.0,1.0,2.0,1.0,-0.08060177236386884,3.0,2.0,1.0,3.0,2.0,2.0,2.0,0
4.0,-0.03688321759487177,2.0,3.0,-0.09600716377871799,1.0,2.0,3.0,2.0,1.0,1.0,1.0,-0.12320424231012224,3.0,2.0,1.0,3.0,2.0,1.0,2.0,0
4.0,-0.04119947865355642,2.0,488.0,-0.09914996470128985,1.0,3.0,2.0,2.0,1.0,4.0,3.0,0.10806630882668196,3.0,2.0,1.0,3.0,2.0,2.0,2.0,0
4.0,-0.04335760918289874,2.0,2.0,-0.09282905048622958,4.0,3.0,4.0,1.0,1.0,2.0,1.0,-0.08060177236386884,3.0,2.0,1.0,3.0,2.0,1.0,2.0,0
2.0,-0.04012041338888526,2.0,0.0,-0.1007743337174506,4.0,5.0,4.0,3.0,1.0,4.0,1.0,0.04720563747489138,3.0,2.0,1.0,3.0,2.0,2.0,2.0,0
1.0,-0.03364602180085828,907.0,0.0,-0.06521477721149695,2.0,4.0,2.0,3.0,1.0,3.0,3.0,-0.08668783949904789,1.0,2.0,1.0,3.0,2.0,1.0,2.0,0
2.0,-0.04335760918289874,4.0,8.0,-0.11440490850523423,5.0,4.0,1.0,2.0,1.0,3.0,2.0,-0.04408536955279449,3.0,2.0,2.0,2.0,2.0,1.0,2.0,0
3.0,-0.03364602180085828,4.0,3.0,-0.03615269677018627,5.0,3.0,3.0,3.0,1.0,2.0,3.0,-0.09277390663422695,3.0,2.0,2.0,3.0,2.0,2.0,2.0,0
